Time,mean_Growth_Rate,min_Growth_Rate,max_Growth_Rate,variance_Growth_Rate,mean_Synergy,min_Synergy,max_Synergy,variance_Synergy,mean_Heredity,min_Heredity,max_Heredity,variance_Heredity,mean_Invasion_Ability,min_Invasion_Ability,max_Invasion_Ability,variance_Invasion_Ability,mean_Biomass,min_Biomass,max_Biomass,variance_Biomass,fittest_count,fittest_heredity,fittestCommunity,dominant_count,dominant_heredity,dominantCommunity
0,2331.7,-2.25209e-06,9323.22,1.54874e+07,-5486.11,-23288.7,0,6.86823e+07,0.979701,0.888889,1,0.000997115,0.68128,0.004,1,0.215863,5804.18,0,20000,7.83119e+07,23,0,[ 0 10000 0 0 0 0 10000 0 0 ],23,0,[ 0 10000 0 0 0 0 10000 0 0 ]
10,8204.44,0,9323.22,9.17901e+06,-18006,-18276,-16026.6,534295,0.938355,0.888889,0.9451,0.000333662,0.004,0.004,0.004,5.45608e-36,18800,10000,20000,1.056e+07,88,0,[ 0 10000 0 0 0 0 10000 0 0 ],88,0,[ 0 10000 0 0 0 0 10000 0 0 ]
20,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
30,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
40,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
50,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
60,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
70,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
80,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
90,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
100,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
110,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
120,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
130,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
140,9229.99,0.000706241,9323.22,860532,-18093.4,-18276,-23.7241,3.29813e+06,0.945646,0.9451,0.99975,2.95682e-05,0.01396,0.004,1,0.00982096,19800.2,23.2851,20000,3.95078e+06,99,0,[ 0 10000 0 0 0 0 10000 0 0 ],99,0,[ 0 10000 0 0 0 0 10000 0 0 ]
150,9229.99,0.000438524,9323.22,860532,-18093.4,-18276,-16.7062,3.30066e+06,0.945648,0.9451,0.999887,2.97161e-05,0.01396,0.004,1,0.00982096,19800.1,11.1362,20000,3.95559e+06,99,0,[ 0 10000 0 0 0 0 10000 0 0 ],99,0,[ 0 10000 0 0 0 0 10000 0 0 ]
160,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
170,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
180,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
190,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
200,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
210,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
220,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
230,9229.99,-1.58664e-08,9323.22,860532,-18093.2,-18276,-1.3713,3.30621e+06,0.945649,0.9451,0.999985,2.98228e-05,0.01396,0.004,1,0.00982096,19800,1.35082,20000,3.95947e+06,99,0,[ 0 10000 0 0 0 0 10000 0 0 ],99,0,[ 0 10000 0 0 0 0 10000 0 0 ]
240,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
250,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
260,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
270,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
280,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
290,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
300,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
310,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
320,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
330,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
340,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
350,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
360,9229.99,3.0962e-05,9323.22,860532,-18093.2,-18276,-1.12644,3.3063e+06,0.945649,0.9451,0.999981,2.98181e-05,0.01396,0.004,1,0.00982096,19800,2.20147,20000,3.95913e+06,99,0,[ 0 10000 0 0 0 0 10000 0 0 ],99,0,[ 0 10000 0 0 0 0 10000 0 0 ]
370,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
380,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
390,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
400,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
410,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
420,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
430,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
440,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
450,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
460,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
470,9323.22,9323.22,9323.22,1.0497e-23,-18276,-18276,-18276,0,0.9451,0.9451,0.9451,4.7164e-31,0.004,0.004,0.004,5.45608e-36,20000,20000,20000,0,100,0,[ 0 10000 0 0 0 0 10000 0 0 ],100,0,[ 0 10000 0 0 0 0 10000 0 0 ]
